"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example"
985,【十分】,shífēn,adv.,very; fully; utterly; extremely; completely,我对今天的演出～满意。
986,【实际】,shíjì,adj.,real; actual,他用了一个～的例子来说明这个问题。
987,【实在】,shízaì,adj.,true; real; honest; dependable,这个人很～，值得信任。
987,【实在】,shízaì,adv.,indeed; really,我～是太累了。
988,【使】,shǐ,v.,make; cause; enable,他的话～我很感动。
989,【使用】,shǐyòng,v.,use,中国人吃饭一般～筷子。
990,【世纪】,shìjì,n.,century,现在是二十一～了。
991,【是否】,shìfǒu,adv.,whether or not,他～能来，我还不太清楚。
992,【适合】,shìhé,v.,suit; fit; be appropriate for,我不太～穿绿色的衣服。
993,【适应】,shìyìng,v.,adjust; adapt; fit,我已经～这里的工作环境了。
994,【收】,shōu,v.,receive; accept,我～到你的信了。
995,【收入】,shōurù,n.,income; revenue,他每年有 20 万的～。
996,【收拾】,shōushi,v.,put in order; tidy; clear away,我在～行李呢。
997,【首都】,shǒudū,n,capital (of a country),中国的～是北京。
998,【首先】,shǒuxiān,adv.,first of all,～要休息好，然后才能工作好。
999,【受不了】,shòubuliǎo,adv.,can’t bear; can't stand,这里太吵了，真让人～。
1000,【受到】,shòudào,v.,accept; recieve,他的小说～了读者们的欢迎。
