Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
can,2,can2,Yes,残,to destroy  / to spoil  / to ruin  / to injure  / cruel  / oppressive  / savage  / brutal  / incomplete  / disabled  / to remain  / to survive  / remnant  / surplus; silkworm; ashamed
can,3,can3,Yes,惨,miserable  / wretched  / cruel  / inhuman  / disastrous  / tragic  / dim  / gloomy; already  / sorrowful; dark  / dim  / gloomy  / bleak
can,4,can4,Yes,灿,glorious  / bright  / brilliant  / lustrous  / resplendent; gem  / luster of gem; used in 孱頭｜孱头
cang,1,cang1,Yes,舱,"cabin  / the hold of a ship or airplane; (bound form) (of water, esp. the ocean) deep blue-green  / (literary) cold; barn  / granary  / storehouse  / cabin  / hold (in ship)"
cang,2,cang2,Yes,藏,to conceal  / to hide away  / to harbor  / to store  / to collect; (onom.) (sound of a bell); Japanese variant of 藏
cang,3,cang3,No,,
cang,4,cang4,No,,
cao,1,cao1,Yes,操,to grasp  / to hold  / to operate  / to manage  / to control  / to steer  / to exercise  / to drill (practice)  / to play  / to speak (a language); old variant of 操; rough  / coarse (in texture)
cao,2,cao2,Yes,槽,trough  / manger  / groove  / channel  / (Tw) (computing) hard drive; bustling  / tumultuous  / noisy; to transport (esp. grain) by water  / (literary) watercourse; canal
cao,3,cao3,Yes,草,"grass  / straw  / manuscript  / draft (of a document)  / careless  / rough  / CL: 棵, 撮, 株, 根; variant of 草; grass radical 草字頭兒｜草字头儿"
cao,4,cao4,Yes,操,variant of 肏; variant of 肏; to fuck (vulgar)
ce,1,ce1,No,,
ce,2,ce2,No,,
ce,3,ce3,No,,
ce,4,ce4,Yes,测,to survey  / to measure  / to conjecture; book  / booklet  / classifier for books; the side  / to incline towards  / to lean  / inclined  / lateral  / side
cen,1,cen1,Yes,参,used in 參差｜参差; uneven  / not uniform
cen,2,cen2,Yes,岑,surname Cen; small hill; overflow  / rainwater  / tearful
cen,3,cen3,No,,
cen,4,cen4,No,,
ceng,1,ceng1,Yes,噌,to scold  / whoosh!
ceng,2,ceng2,Yes,层,to pile on top of one another  / layer; stratum  / floor (of a building); story  / (math.) sheaf  / classifier for layers; once  / already  / ever (in the past)  / former  / previously  / (past tense marker used before verb or clause); lofty  / precipitous
ceng,3,ceng3,No,,
ceng,4,ceng4,Yes,蹭,to rub against  / to walk slowly  / (coll.) to freeload
cha,1,cha1,Yes,叉,fork  / pitchfork  / prong  / pick  / cross  / intersect  / &quot;X&quot;; to insert  / stick in  / pierce  / to take part in  / to interfere  / to interpose; old variant of 插
cha,2,cha2,Yes,茶,"tea  / tea plant  / CL: 杯, 壺｜壶; to research  / to check  / to investigate  / to examine  / to refer to  / to look up (e.g. a word in a dictionary); short name for Chahar Province 察哈爾｜察哈尔"
cha,3,cha3,Yes,叉,to diverge  / to open (as legs); open seam of a garment  / shorts  / panties; small cymbals
cha,4,cha4,Yes,差,"different  / wrong; mistaken  / to fall short; to lack  / not up to standard; inferior  / Taiwan pr. [cha1]; Buddhist monastery, temple or shrine (abbr. for 剎多羅｜刹多罗, Sanskrit &quot;ksetra&quot;); fork in road  / bifurcation  / branch in road, river, mountain range etc  / to branch off  / to turn off  / to diverge  / to stray (from the path)  / to change the subject  / to interrupt  / to stagger (times)"
chai,1,chai1,Yes,拆,to tear open  / to tear down  / to tear apart  / to open; to send (on an errand)  / (archaic) person sent on such an errand  / job; official post; hairpin
chai,2,chai2,Yes,柴,surname Chai; firewood  / lean (of meat)  / thin (of a person); dog-like animal  / ravenous beast  / dhole (Cuon Alpinus)  / jackal
chai,3,chai3,Yes,茝,"aromatic plant, possibly Dahurian angelica 白芷 (archaic)"
chai,4,chai4,Yes,虿,(scorpion)  / an insect; (used in an ancient given name); to recover from disease
chan,1,chan1,Yes,掺,to mix; to blend; to dilute; to adulterate; to take by the arm and assist  / variant of 摻｜掺; the front of clothes
chan,2,chan2,Yes,缠,to wind around  / to wrap round  / to coil  / tangle  / to involve  / to bother  / to annoy; gluttonous  / greedy  / to have a craving; used in 單于｜单于
chan,3,chan3,Yes,产,to give birth  / to reproduce  / to produce  / product  / resource  / estate  / property; to scrape the ground with a spade (to make it level or to remove weeds); to shovel; variant of 產｜产
chan,4,chan4,Yes,颤,to tremble  / to shiver  / to shake  / to vibrate  / Taiwan pr. [zhan4]; (bound form) to feel remorse  / (bound form) scripture read to atone for sb&#039;s sins (from Sanskrit &quot;ksama&quot;); (literary) animal&#039;s mouth or beak
chang,1,chang1,Yes,娼,prostitute; surname Chang; (bound form) prosperous; flourishing
chang,2,chang2,Yes,常,always  / ever  / often  / frequently  / common  / general  / constant; long  / (bound form) length  / (bound form) strong point; forte  / (bound form) to be good at  / (literary) surplus; spare (Taiwan pr. [zhang4]); to taste; to try (food)  / to experience  / (literary) ever; once
chang,3,chang3,Yes,场,large place used for a specific purpose  / stage  / scene (of a play)  / classifier for sporting or recreational activities  / classifier for number of exams; variant of 場｜场; factory  / yard  / depot  / workhouse  / works  / (industrial) plant
